host name,Email address,Email,Address,City,state,country,Postal code,phone number,first name,last name,personal email,longitude,latitude
Gemeente Steenbergen,steenbergen@straat.info,info@gemeente-steenbergen.nl,Postbus 6,STEENBERGEN NB,nvt,Nederland,4650 AA,140167,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Steenwijkerland,steenwijkerland@straat.info,info@steenwijkerland.nl,Postbus 162,STEENWIJK,nvt,Nederland,8330 AD,14 0521,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Stein,stein@straat.info,info@gemeentestein.nl,Postbus 15,STEIN LB,nvt,Nederland,6170 AA,(046) 435 93 93,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Stichtse Vecht,stichtse@straat.info,info@stichtsevecht.nl,Postbus 1212,MAARSSEN,nvt,Nederland,3600 BE,(0346) 25 40 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Súdwest Fryslân,súdwest@straat.info,info@sudwestfryslan.nl,Postbus 10000,SNEEK,nvt,Nederland,8600 HA,(0515) 48 90 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Terneuzen,terneuzen@straat.info,geenmailterneuzen@straat.info,Postbus 35,TERNEUZEN,nvt,Nederland,4530 AA,140115,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Terschelling,terschelling@straat.info,gemeente@terschelling.nl,Postbus 14,WEST-TERSCHELLING,nvt,Nederland,8880 AA,(0562) 44 62 44,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Texel,texel@straat.info,gemeente@texel.nl,Postbus 200,DEN BURG,nvt,Nederland,1790 AE,140222,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Teylingen,teylingen@straat.info,gemeente@teylingen.nl,Postbus 149,VOORHOUT,nvt,Nederland,2215 ZJ,(0252) 78 33 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Tholen,tholen@straat.info,gemeente@tholen.nl,Postbus 51,THOLEN,nvt,Nederland,4690 AB,14 0166,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Tiel,tiel@straat.info,gemeente@tiel.nl,Postbus 6325,TIEL,nvt,Nederland,4000 HH,(0344) 63 71 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Tilburg,tilburg@straat.info,gemeente@tilburg.nl,Postbus 90155,TILBURG,nvt,Nederland,5000 LH,14 013,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Tubbergen,tubbergen@straat.info,gemeente@tubbergen.nl,Postbus 30,TUBBERGEN,nvt,Nederland,7650 AA,(0546) 62 80 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Twenterand,twenterand@straat.info,info@twenterand.nl,Postbus 67,VRIEZENVEEN,nvt,Nederland,7670 AB,(0546) 84 08 40,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Tynaarlo,tynaarlo@straat.info,info@tynaarlo.nl,Postbus 5,VRIES,nvt,Nederland,9480 AA,(0592) 26 66 62,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Tytsjerksteradiel,tytsjerksteradiel@straat.info,gemeente@t-diel.nl,Postbus 3,BURGUM,nvt,Nederland,9250 AA,(0511) 46 08 60,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Uden,uden@straat.info,postbus83@uden.nl,Postbus 83,UDEN,nvt,Nederland,5400 AB,140413,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Uitgeest,uitgeest@straat.info,gemeentebestuur@uitgeest.nl,Postbus 7,UITGEEST,nvt,Nederland,1910 AA,14 0251,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Uithoorn,uithoorn@straat.info,gemeente@uithoorn.nl,Postbus 8,UITHOORN,nvt,Nederland,1420 AA,(0297) 51 31 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Urk,urk@straat.info,gemeente@urk.nl,Postbus 77,URK,nvt,Nederland,8320 AB,(0527) 68 98 68,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Utrecht,utrecht@straat.info,Gemeente@utrecht.nl,Postbus 16200,UTRECHT,nvt,Nederland,3500 CE,(030) 286 00 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Utrechtse Heuvelrug,utrechtse@straat.info,info@heuvelrug.nl,Postbus 200,DOORN,nvt,Nederland,3940 AE,(0343) 56 56 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Vaals,vaals@straat.info,info@vaals.nl,Postbus 450,VAALS,nvt,Nederland,6290 AL,(043) 306 85 68,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Valkenburg aan de Geul,valkenburg@straat.info,info@valkenburg.nl,Postbus 998,VALKENBURG LB,nvt,Nederland,6300 AZ,14 043,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Valkenswaard,valkenswaard@straat.info,gemeente@valkenswaard.nl,Postbus 10100,VALKENSWAARD,nvt,Nederland,5550 GA,(040) 208 34 44,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Veendam,veendam@straat.info,Info@veendam.nl,Postbus 20004,VEENDAM,nvt,Nederland,9640 PA,(0598) 65 22 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Veenendaal,veenendaal@straat.info,info@veenendaal.nl,Postbus 1100,VEENENDAAL,nvt,Nederland,3900 BC,(0318) 53 85 38,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Veere,veere@straat.info,gemeente@veere.nl,Postbus 1000,DOMBURG,nvt,Nederland,4357 ZV,(0118) 55 54 44,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Veldhoven,veldhoven@straat.info,gemeente@veldhoven.nl,Postbus 10101,VELDHOVEN,nvt,Nederland,5500 GA,(040) 258 44 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Velsen,velsen@straat.info,info@velsen.nl,Postbus 465,IJMUIDEN,nvt,Nederland,1970 AL,(0255) 56 72 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Venlo,venlo@straat.info,info@venlo.nl,Postbus 3434,VENLO,nvt,Nederland,5902 RK,14 077,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Venray,venray@straat.info,gemeente@venray.nl,Postbus 500,VENRAY,nvt,Nederland,5800 AM,(0478) 52 33 33,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Vijfheerenlanden,info@vijfheerenlanden.nl,info@vijfheerenlanden.nl,Postbus 11,Leerdam,nvt,Nederland,4140 AA,088 5997000,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Vlaardingen,vlaardingen@straat.info,geenmailvlaardingen@straat.info,Postbus 1002,VLAARDINGEN,nvt,Nederland,3130 EB,(010) 248 40 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Vlieland,vlieland@straat.info,info@vlieland.nl,Postbus 10,VLIELAND,nvt,Nederland,8899 ZN,(0562) 45 27 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Vlissingen,vlissingen@straat.info,gemeente@vlissingen.nl,Postbus 3000,VLISSINGEN,nvt,Nederland,4380 GV,(0118) 48 70 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Voerendaal,voerendaal@straat.info,info@voerendaal.nl,Postbus 23000,VOERENDAAL,nvt,Nederland,6367 ZG,(045) 575 33 99,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Voorschoten,voorschoten@straat.info,gemeente@voorschoten.nl,Postbus 393,VOORSCHOTEN,nvt,Nederland,2250 AJ,(071) 560 06 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Voorst,voorst@straat.info,Gemeente@voorst.nl,Postbus 9000,TWELLO,nvt,Nederland,7390 HA,(0571) 27 99 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Vught,vught@straat.info,gemeente@vught.nl,Postbus 10100,VUGHT,nvt,Nederland,5260 GA,(073) 658 06 80,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Waadhoeke,franeker@straat.info ,info@waadhoeke.nl,Postbus 58,FRANEKER,nvt,Nederland,8800 AB ,(0517) 380380,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Waalre,waalre@straat.info,gemeente@waalre.nl,Postbus 10000,WAALRE,nvt,Nederland,5580 GA,(040) 228 25 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Waalwijk,waalwijk@straat.info,info@waalwijk.nl,Postbus 10150,WAALWIJK,nvt,Nederland,5140 GB,(0416) 68 34 56,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Waddinxveen,waddinxveen@straat.info,gemeente@waddinxveen.nl,Postbus 400,WADDINXVEEN,nvt,Nederland,2740 AK,14 0182,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wageningen,wageningen@straat.info,gemeente@wageningen.nl,Postbus 1,WAGENINGEN,nvt,Nederland,6700 AA,(0317) 49 29 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wassenaar,wassenaar@straat.info,gemeente@wassenaar.nl,Postbus 499,WASSENAAR,nvt,Nederland,2240 AL,(070) 512 22 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Waterland,waterland@straat.info,gemeente@waterland.nl,Postbus 1000,MONNICKENDAM,nvt,Nederland,1140 BA,(0299) 65 85 85,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Weert,weert@straat.info,gemeente@weert.nl,Postbus 950,WEERT,nvt,Nederland,6000 AZ,(0495) 57 50 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Weesp,weesp@straat.info,info@weesp.nl,Postbus 5099,WEESP,nvt,Nederland,1380 GB,(0294) 49 13 91,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente West Betuwe,gemeente@westbetuwe.nl,gemeente@westbetuwe.nl,Postbus 112,Geldermalsen,nvt,Nederland,4190 CC,0345 728802,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente West Maas en Waal,west@straat.info,info@westmaasenwaal.nl,Postbus 1,BENEDEN-LEEUWEN,nvt,Nederland,6658 ZG,14 0487,first,last,personal@straat.info,"29,984,541","-26,521,851"
gemeente Westerkwartier,info@westerkwartier.nl,info@westerkwartier.nl,Postbus 100,Leek,nvt,Nederland,9350 AC,14 0594,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Westerveld,westerveld@straat.info,info@gemeentewesterveld.nl,Postbus 50,HAVELTE,nvt,Nederland,7970 AB,(0521) 34 93 49,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Westervoort,westervoort@straat.info,gemeente@westervoort.nl,Postbus 40,WESTERVOORT,nvt,Nederland,6930 AA,(026) 317 99 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Westland,westland@straat.info,info@gemeentewestland.nl,Postbus 150,NAALDWIJK,nvt,Nederland,2670 AD,14 0174,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Weststellingwerf,weststellingwerf@straat.info,info@weststellingwerf.nl,Postbus 60,WOLVEGA,nvt,Nederland,8470 AB,14 0561,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Westvoorne,westvoorne@straat.info,gemeente@westvoorne.nl,Postbus 550,ROCKANJE,nvt,Nederland,3235 ZH,(0181) 40 80 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Westerwolde,westerwolde@straat.info,gemeente@westerwolde.nl,Postbus 14,SELLINGEN,nvt,Nederland,9550 AA,(0599) 32 02 20,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wierden,wierden@straat.info,gemeente@wierden.nl,Postbus 43,WIERDEN,nvt,Nederland,7640 AA,(0546) 58 08 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wijchen,wijchen@straat.info,gemeente@wijchen.nl,Postbus 9000,WIJCHEN,nvt,Nederland,6600 HA,14 024,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wijdemeren,wijdemeren@straat.info,postbus@wijdemeren.nl,Postbus 190,LOOSDRECHT,nvt,Nederland,1230 AD,(035) 655 95 95,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wijk bij Duurstede,wijk@straat.info,info@wijkbijduurstede.nl,Postbus 83,WIJK BIJ DUURSTEDE,nvt,Nederland,3960 BB,(0343) 59 55 95,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Winterswijk,winterswijk@straat.info,gemeente@winterswijk.nl,Postbus 101,WINTERSWIJK,nvt,Nederland,7100 AC,(0543) 54 35 43,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Woensdrecht,woensdrecht@straat.info,gemeente@woensdrecht.nl,Postbus 24,HOOGERHEIDE,nvt,Nederland,4630 AA,14 0164,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Woerden,woerden@straat.info,stadhuis@woerden.nl,Blekerijlaan 14,WOERDEN,nvt,Nederland,3447 GR,14 0348,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Wormerland,wormerland@straat.info,Postbus@wormerland.nl,Postbus 20,WORMER,nvt,Nederland,1530 AA,(075) 642 90 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Woudenberg,woudenberg@straat.info,postbus@woudenberg.nl,Postbus 16,WOUDENBERG,nvt,Nederland,3930 EA,(033) 286 91 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zaanstad,zaanstad@straat.info,geenmailzaanstad@straat.info,Postbus 2000,ZAANDAM,nvt,Nederland,1500 GA,14 075,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zaltbommel,zaltbommel@straat.info,info@zaltbommel.nl,Postbus 10002,ZALTBOMMEL,nvt,Nederland,5300 DA,14 0418,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zandvoort,zandvoort@straat.info,info@zandvoort.nl,Postbus 2,ZANDVOORT,nvt,Nederland,2040 AA,(023) 574 01 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zeewolde,zeewolde@straat.info,info@zeewolde.nl,Postbus 1,ZEEWOLDE,nvt,Nederland,3890 AA,(036) 522 95 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zeist,zeist@straat.info,zeist@zeist.nl,Postbus 513,ZEIST,nvt,Nederland,3700 AM,14 030,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zevenaar,zevenaar@straat.info,gemeente@zevenaar.nl,Postbus 10,ZEVENAAR,nvt,Nederland,6900 AA,(0316) 59 51 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zoetermeer,zoetermeer@straat.info,Antwoord@zoetermeer.nl,Postbus 15,ZOETERMEER,nvt,Nederland,2700 AA,14 079,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zoeterwoude,zoeterwoude@straat.info,gemeente@zoeterwoude.nl,Postbus 34,ZOETERWOUDE,nvt,Nederland,2380 AA,(071) 580 63 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zuidplas,zuidplas@straat.info,gemeente@zuidplas.nl,Postbus 100,NIEUWERKERK AD IJSSEL,nvt,Nederland,2910 AC,(0180) 33 03 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zundert,zundert@straat.info,gemeente@zundert.nl,Postbus 10001,ZUNDERT,nvt,Nederland,4880 GA,(076) 599 56 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zutphen,zutphen@straat.info,info@zutphen.nl,Postbus 41,ZUTPHEN,nvt,Nederland,7200 AA,14 0575,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zwartewaterland,zwartewaterland@straat.info,info@zwartewaterland.nl,Postbus 23,HASSELT,nvt,Nederland,8060 AA,(038) 385 30 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zwijndrecht,zwijndrecht@straat.info,gemeente@zwijndrecht.nl,Postbus 15,ZWIJNDRECHT,nvt,Nederland,3330 AA,14 078,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Zwolle,zwolle@straat.info,postbus@zwolle.nl,Postbus 10007,ZWOLLE,nvt,Nederland,8000 GA,14 038,first,last,personal@straat.info,"29,984,541","-26,521,851"
