hostName,alternateHostName,email,houseNumber,street ,address,city,state,country,postalCode,phoneNumber,fname,lname,personalEmail,long,lat
Gemeente Waterland,,waterland@straat.info,,,Postbus 1000,MONNICKENDAM,nvt,Nederland,1140 BA,(0299) 65 85 85,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Weert,,weert@straat.info,,,Postbus 950,WEERT,nvt,Nederland,6000 AZ,(0495) 57 50 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Weesp,,weesp@straat.info,,,Postbus 5099,WEESP,nvt,Nederland,1380 GB,(0294) 49 13 91,first,last,personal@straat.info,4.3151,52.0612965
Gemeente West Betuwe,,gemeente@westbetuwe.nl,,,Postbus 112,Geldermalsen,nvt,Nederland,4190 CC,0345 728802,first,last,personal@straat.info,4.3151,52.0612965
Gemeente West Maas en Waal,,west@straat.info,,,Postbus 1,BENEDEN-LEEUWEN,nvt,Nederland,6658 ZG,14 0487,first,last,personal@straat.info,4.3151,52.0612965
gemeente Westerkwartier,,info@westerkwartier.nl,,,Postbus 100,Leek,nvt,Nederland,9350 AC,14 0594,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Westerveld,,westerveld@straat.info,,,Postbus 50,HAVELTE,nvt,Nederland,7970 AB,(0521) 34 93 49,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Westervoort,,westervoort@straat.info,,,Postbus 40,WESTERVOORT,nvt,Nederland,6930 AA,(026) 317 99 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Westerwolde,,westerwolde@straat.info,,,Postbus 14,SELLINGEN,nvt,Nederland,9550 AA,(0599) 32 02 20,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Westland,,westland@straat.info,,,Postbus 150,NAALDWIJK,nvt,Nederland,2670 AD,14 0174,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Weststellingwerf,,weststellingwerf@straat.info,,,Postbus 60,WOLVEGA,nvt,Nederland,8470 AB,14 0561,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Westvoorne,,westvoorne@straat.info,,,Postbus 550,ROCKANJE,nvt,Nederland,3235 ZH,(0181) 40 80 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wierden,,wierden@straat.info,,,Postbus 43,WIERDEN,nvt,Nederland,7640 AA,(0546) 58 08 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wijchen,,wijchen@straat.info,,,Postbus 9000,WIJCHEN,nvt,Nederland,6600 HA,14 024,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wijdemeren,,wijdemeren@straat.info,,,Postbus 190,LOOSDRECHT,nvt,Nederland,1230 AD,(035) 655 95 95,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wijk bij Duurstede,,wijk@straat.info,,,Postbus 83,WIJK BIJ DUURSTEDE,nvt,Nederland,3960 BB,(0343) 59 55 95,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Winterswijk,,winterswijk@straat.info,,,Postbus 101,WINTERSWIJK,nvt,Nederland,7100 AC,(0543) 54 35 43,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Woensdrecht,,woensdrecht@straat.info,,,Postbus 24,HOOGERHEIDE,nvt,Nederland,4630 AA,14 0164,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Woerden,,woerden@straat.info,,,Blekerijlaan 14,WOERDEN,nvt,Nederland,3447 GR,14 0348,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Wormerland,,wormerland@straat.info,,,Postbus 20,WORMER,nvt,Nederland,1530 AA,(075) 642 90 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Woudenberg,,woudenberg@straat.info,,,Postbus 16,WOUDENBERG,nvt,Nederland,3930 EA,(033) 286 91 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zaanstad,,zaanstad@straat.info,,,Postbus 2000,ZAANDAM,nvt,Nederland,1500 GA,14 075,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zaltbommel,,zaltbommel@straat.info,,,Postbus 10002,ZALTBOMMEL,nvt,Nederland,5300 DA,14 0418,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zandvoort,,zandvoort@straat.info,,,Postbus 2,ZANDVOORT,nvt,Nederland,2040 AA,(023) 574 01 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zeewolde,,zeewolde@straat.info,,,Postbus 1,ZEEWOLDE,nvt,Nederland,3890 AA,(036) 522 95 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zeist,,zeist@straat.info,,,Postbus 513,ZEIST,nvt,Nederland,3700 AM,14 030,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zevenaar,,zevenaar@straat.info,,,Postbus 10,ZEVENAAR,nvt,Nederland,6900 AA,(0316) 59 51 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zoetermeer,,zoetermeer@straat.info,,,Postbus 15,ZOETERMEER,nvt,Nederland,2700 AA,14 079,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zoeterwoude,,zoeterwoude@straat.info,,,Postbus 34,ZOETERWOUDE,nvt,Nederland,2380 AA,(071) 580 63 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zuidplas,,zuidplas@straat.info,,,Postbus 100,NIEUWERKERK AD IJSSEL,nvt,Nederland,2910 AC,(0180) 33 03 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zundert,,zundert@straat.info,,,Postbus 10001,ZUNDERT,nvt,Nederland,4880 GA,(076) 599 56 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zutphen,,zutphen@straat.info,,,Postbus 41,ZUTPHEN,nvt,Nederland,7200 AA,14 0575,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zwartewaterland,,zwartewaterland@straat.info,,,Postbus 23,HASSELT,nvt,Nederland,8060 AA,(038) 385 30 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zwijndrecht,,zwijndrecht@straat.info,,,Postbus 15,ZWIJNDRECHT,nvt,Nederland,3330 AA,14 078,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Zwolle,,zwolle@straat.info,,,Postbus 10007,ZWOLLE,nvt,Nederland,8000 GA,14 038,first,last,personal@straat.info,4.3151,52.0612965
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
